"Percentage of high school students who used e-cigarettes in the past 30 daysa, by gender and race/ethnicity; National Youth Tobacco Survey (NYTS) 2011–2015",,,,,,,,,,
,2011,,2012,,2013,,2014,,2015,
Characteristic ,% (95% CI) ,SE ,% (95% CI) ,SE ,% (95% CI) ,SE ,% (95% CI) ,SE ,% (95% CI) ,SE 
Overall ,1.5 (1.2–2.0) ,0.2 ,2.8 (2.3–3.5) ,0.3 ,4.5 (3.8–5.3) ,0.4 ,13.4 (11.2–16.1) ,1.2 ,16.0 (14.1–18.0) ,1.0 
Gender ,,,,,,,,,,
Female ,0.7 (0.5–1.0) ,0.1 ,1.9 (1.5–2.4) ,0.2 ,3.5 (2.8–4.3) ,0.4 ,11.9 (9.7–14.5) ,1.2 ,12.8 (11.0–15.0) ,1.0 
Male ,2.3 (1.7–3.2) ,0.4 ,3.7 (2.9–4.8) ,0.5 ,5.5 (4.5–6.8) ,0.6 ,15.0 (12.4–18.2) ,1.4 ,19.0 (16.5–21.7) ,1.3 
Race/ethnicity ,,,,,,,,,,
White ,1.8 (1.3–2.4) ,0.3 ,3.4 (2.7–4.2) ,0.4 ,4.8 (3.8–6.1) ,0.6 ,15.3 (12.4–18.8) ,1.6 ,17.2 (14.7–19.9) ,1.3 
Black or African American ,— ,— ,1.1 (0.7–1.9) ,0.3 ,2.7 (1.9–3.9) ,0.5 ,5.6 (3.7–8.5) ,1.2 ,8.9 (7.4–10.8) ,0.8 
Hispanic or Latino ,1.3 (0.8–2.1) ,0.3 ,2.7 (1.9–3.8) ,0.5 ,5.3 (4.2–6.6) ,0.6 ,15.3 (11.8–19.5) ,1.9 ,16.4 (14.1–19.0) ,1.2 
Otherb,— ,— ,— ,— ,4.0 (2.3–6.9) ,1.1 ,9.4 (6.8–12.9) ,1.5 ,18.9 (10.3–32.2) ,5.5 
,,,,,,,,,,
Notes: CI = confidence interval; SE = standard error. An em dash (—) indicates that data are statistically unstable because of a relative standard error >40%. Wording of questions used to measure e-cigarette use varied from 2011 to 2015. ,,,,,,,,,,
,,,,,,,,,,
a Includes those who reported using e-cigarettes on 1 or more of the past 30 days. This is also considered “current use” in this survey. ,,,,,,,,,,
"b Includes non-Hispanic Asian, non-Hispanic Native Hawaiian/Other Pacific Islander, and non-Hispanic American Indian/Alaska Native.",,,,,,,,,,
,,,,,,,,,,
"Source:  The 2016 Surgeon General's Report: E-Cigarette Use Among Youth and Young Adults (Chapter 2, Figure 2.2b)",,,,,,,,,,
https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/,,,,,,,,,,